danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360,4
0.774,0.7,1,-7.334,1,0.266,0.163,3.24e-05,0.169,0.624,81.99,audio_features,3ilgxZl5g7MOQCUiky3VOG,spotify:track:3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/tracks/3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/audio-analysis/3ilgxZl5g7MOQCUiky3VOG,147587,4
0.82,0.94,0,-6.307,1,0.113,0.0403,1.33e-06,0.243,0.79,140.022,audio_features,3VIEbpdr64a1mNSa8MqBAm,spotify:track:3VIEbpdr64a1mNSa8MqBAm,https://api.spotify.com/v1/tracks/3VIEbpdr64a1mNSa8MqBAm,https://api.spotify.com/v1/audio-analysis/3VIEbpdr64a1mNSa8MqBAm,163602,4
0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,audio_features,2HafqoJbgXdtjwCOvNEF14,spotify:track:2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/tracks/2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/audio-analysis/2HafqoJbgXdtjwCOvNEF14,184061,4
0.786,0.66,11,-6.746,0,0.127,0.123,0.00425,0.141,0.65,136.072,audio_features,5Tpojb1ynbO0MgfAwgDza5,spotify:track:5Tpojb1ynbO0MgfAwgDza5,https://api.spotify.com/v1/tracks/5Tpojb1ynbO0MgfAwgDza5,https://api.spotify.com/v1/audio-analysis/5Tpojb1ynbO0MgfAwgDza5,170551,4
0.684,0.526,10,-10.164,1,0.185,0.408,0.000124,0.221,0.833,173.881,audio_features,1ct7Hx3FQMfym8cHIk4hrd,spotify:track:1ct7Hx3FQMfym8cHIk4hrd,https://api.spotify.com/v1/tracks/1ct7Hx3FQMfym8cHIk4hrd,https://api.spotify.com/v1/audio-analysis/1ct7Hx3FQMfym8cHIk4hrd,122241,4
0.89,0.521,6,-7.048,0,0.169,0.078,0.0,0.0958,0.646,139.981,audio_features,6yeZM8gyykjaf8w0GqRfK4,spotify:track:6yeZM8gyykjaf8w0GqRfK4,https://api.spotify.com/v1/tracks/6yeZM8gyykjaf8w0GqRfK4,https://api.spotify.com/v1/audio-analysis/6yeZM8gyykjaf8w0GqRfK4,131893,4
0.403,0.809,1,-7.306,0,0.0786,0.0856,0.964,0.26,0.682,149.949,audio_features,40yGiymEtZ91DzclIxqIkE,spotify:track:40yGiymEtZ91DzclIxqIkE,https://api.spotify.com/v1/tracks/40yGiymEtZ91DzclIxqIkE,https://api.spotify.com/v1/audio-analysis/40yGiymEtZ91DzclIxqIkE,127068,4
0.796,0.865,9,-6.76,0,0.0801,0.179,0.0114,0.0852,0.768,130.012,audio_features,5qQLBOEAelSN7JWqX3RIIv,spotify:track:5qQLBOEAelSN7JWqX3RIIv,https://api.spotify.com/v1/tracks/5qQLBOEAelSN7JWqX3RIIv,https://api.spotify.com/v1/audio-analysis/5qQLBOEAelSN7JWqX3RIIv,136988,4
0.726,0.616,10,-7.186,0,0.169,0.214,3.43e-06,0.12,0.245,98.525,audio_features,5nkvT8gZikFgziDbTEuLOh,spotify:track:5nkvT8gZikFgziDbTEuLOh,https://api.spotify.com/v1/tracks/5nkvT8gZikFgziDbTEuLOh,https://api.spotify.com/v1/audio-analysis/5nkvT8gZikFgziDbTEuLOh,176698,4
